Epoch: 92 | Train Loss: 0.8677333075067272 | Test Loss: 1.8121367417849028 | Train Accuracy: 0.23975013164074524 | Test Accuracy: 0.1341458112001419
Epoch: 93 | Train Loss: 0.8382772868094237 | Test Loss: 1.8336514640640427 | Train Accuracy: 0.251767939199572 | Test Accuracy: 0.12769832224636288
Epoch: 94 | Train Loss: 0.8327609572721564 | Test Loss: 1.960782563293373 | Train Accuracy: 0.24740688049274942 | Test Accuracy: 0.11753012420056941
Epoch: 95 | Train Loss: 0.8472087389749029 | Test Loss: 1.8063153591784802 | Train Accuracy: 0.2445895349525887 | Test Accuracy: 0.13268682233743614
Epoch: 96 | Train Loss: 0.8710028146919997 | Test Loss: 2.0837670079954376 | Train Accuracy: 0.2430390804682089 | Test Accuracy: 0.10130056738853455
Epoch: 97 | Train Loss: 0.8682791156613309 | Test Loss: 1.942973473569849 | Train Accuracy: 0.24023784049179242 | Test Accuracy: 0.12900574001800882
Epoch: 98 | Train Loss: 0.8449758129275363 | Test Loss: 2.345426627567836 | Train Accuracy: 0.24925234800447588 | Test Accuracy: 0.10028747190813442
Epoch: 99 | Train Loss: 0.7972853002340897 | Test Loss: 1.8708699627237007 | Train Accuracy: 0.2575097629881423 | Test Accuracy: 0.1301318068916981
Epoch: 100 | Train Loss: 0.7949457492517389 | Test Loss: 1.861424215547331 | Train Accuracy: 0.25857872062403225 | Test Accuracy: 0.12910216580052952
Epoch: 101 | Train Loss: 0.7651758083830709 | Test Loss: 1.7728151646289196 | Train Accuracy: 0.2617345700121444 | Test Accuracy: 0.13874347090393632
Epoch: 102 | Train Loss: 0.7481012360557265 | Test Loss: 1.8070614966717395 | Train Accuracy: 0.2637495997807254 | Test Accuracy: 0.13468673350391808
Epoch: 103 | Train Loss: 0.7867288187794064 | Test Loss: 1.8585839756242521 | Train Accuracy: 0.2615145989086317 | Test Accuracy: 0.1351322938616459
